Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,GrossSalary,DailyRate,MonthlyIncome
32,Yes,Rarely,Audit,4,4,Comptabilite,Male,Junior,Married,1,14,2,14,8,4,1,4,3,3,2,9,1571,72,1100
30,No,Never,TECH,1,1,Informatique,Male,Junior,Single,1,12,2,11,8,3,2,3,4,3,3,5,2571,117,1800
27,No,Frequently,Audit,20,3,Comptabilite,Female,Junior,Single,1,7,2,7,7,4,3,3,3,4,3,0,2571,117,1800
51,No,Rarely,TECH,8,4,Informatique,Male,Partner,Married,5,16,2,10,2,4,4,4,4,4,1,8,,,
30,Yes,Rarely,TECH,3,3,Informatique,Female,Junior,Single,5,8,5,5,2,4,3,1,3,3,3,0,2571,117,1800
41,No,Rarely,Audit,6,3,Comptabilite,Female,Manager,Single,3,16,3,1,0,4,3,4,3,3,3,0,5000,227,3500
30,Yes,Frequently,Audit,26,4,Comptabilite,Female,Junior,Single,5,9,5,6,3,3,2,1,3,3,2,0,2571,117,1800
29,Yes,Rarely,TECH,1,3,Informatique,Male,Junior,Single,0,7,1,6,2,3,3,3,3,4,2,1,2571,117,1800
45,No,Never,Audit,6,3,Comptabilite,Female,Manager,Single,6,23,2,19,7,4,2,4,3,4,3,12,5000,227,3500
54,No,Rarely,Audit,3,3,Gestion,Female,Partner,Married,2,16,2,14,3,4,4,4,3,4,3,11,,,
36,No,Rarely,TECH,5,2,Informatique,Male,Senior,Single,8,16,3,13,11,4,3,2,3,4,4,3,3429,156,2400
33,No,Rarely,TECH,4,4,Informatique,Female,Junior,Married,6,7,3,3,2,3,2,2,4,4,3,1,2571,117,1800
37,No,Frequently,TECH,11,3,Informatique,Male,Senior,Divorced,1,10,1,10,8,2,3,4,3,3,3,0,5631,257,3942
38,No,Rarely,Audit,3,3,Gestion,Male,Senior,Divorced,0,17,6,16,10,1,3,3,3,3,2,5,5631,257,3942
31,No,Never,TECH,1,4,Informatique,Male,Junior,Married,0,6,2,5,4,3,1,3,3,4,3,1,2571,117,1800
59,No,Rarely,TECH,3,3,Informatique,Male,Partner,Married,3,15,1,14,4,3,4,4,4,3,3,10,,,
37,No,Frequently,Audit,4,4,Gestion,Male,Senior,Divorced,4,13,2,9,8,1,3,4,3,3,3,5,5286,241,3700
29,No,Frequently,Audit,1,1,Gestion,Female,Junior,Married,1,11,5,11,10,2,3,4,3,4,3,4,2571,117,1800
35,No,Frequently,Audit,1,3,Gestion,Female,Junior,Single,1,10,3,10,7,3,3,3,3,1,4,0,2571,117,1800
29,Yes,Rarely,TECH,18,1,Informatique,Male,Junior,Single,1,4,3,4,3,3,2,4,3,3,2,0,2571,117,1800
52,No,Rarely,TECH,2,3,Informatique,Female,Partner,Divorced,7,15,1,13,2,3,4,4,3,3,2,11,,,
42,No,Rarely,TECH,4,2,Informatique,Male,Manager,Married,1,22,3,22,17,3,3,4,3,4,3,11,5000,227,3500
59,No,Rarely,HR,6,2,HR,Male,Partner,Married,8,23,2,15,2,4,4,3,4,4,2,13,,,
50,No,Rarely,Audit,1,4,Comptabilite,Female,Manager,Divorced,3,32,3,7,0,4,3,4,3,3,2,0,7857,357,5500
33,Yes,Rarely,TECH,14,3,Informatique,Male,Senior,Married,5,8,2,5,4,3,3,4,3,3,1,0,3394,154,2376
43,No,Rarely,Audit,16,3,Comptabilite,Female,Manager,Married,5,22,3,17,13,4,3,4,4,3,3,1,7857,357,5500
33,Yes,Rarely,TECH,2,2,Informatique,Female,Senior,Married,7,13,3,9,7,1,3,1,4,1,4,1,3429,156,2400
52,No,Never,Audit,2,4,Comptabilite,Male,Partner,Divorced,3,33,2,30,12,4,4,3,4,4,4,18,,,
32,No,Rarely,Audit,4,2,Comptabilite,Female,Senior,Married,2,6,5,4,3,3,3,2,3,1,3,1,5286,241,3700
32,Yes,Rarely,TECH,1,3,Informatique,Male,Senior,Single,0,4,2,3,2,4,2,3,3,4,1,1,5286,241,3700
39,No,Rarely,TECH,1,4,Informatique,Female,Senior,Divorced,7,7,1,3,2,3,3,3,3,3,3,1,3394,154,2376
32,No,Never,Audit,26,4,Comptabilite,Male,Senior,Married,0,4,2,3,2,3,3,4,3,1,3,2,5286,241,3700
41,No,Rarely,TECH,19,2,Informatique,Male,Manager,Divorced,2,17,2,1,0,3,3,1,3,2,2,0,7857,357,5500
40,No,Rarely,TECH,24,2,Informatique,Male,Senior,Divorced,1,9,3,9,8,1,3,4,3,1,3,4,3429,156,2400
45,No,Rarely,TECH,1,3,Informatique,Male,Manager,Married,0,25,2,24,0,3,4,4,3,3,3,1,7857,357,5500
31,No,Frequently,TECH,3,4,Informatique,Male,Senior,Divorced,9,9,3,2,2,2,3,3,3,1,3,2,5286,241,3700
33,No,Rarely,TECH,5,4,Informatique,Female,Senior,Married,1,2,2,2,2,3,2,4,3,3,2,0,5286,241,3700
34,No,Rarely,TECH,2,4,Informatique,Male,Senior,Married,6,13,3,11,9,4,2,1,3,2,3,5,3394,154,2376
37,No,Rarely,TECH,1,2,Informatique,Female,Senior,Married,2,17,2,3,1,3,2,1,3,1,2,0,5286,241,3700
45,No,Frequently,TECH,7,4,Informatique,Male,Manager,Married,4,9,1,3,2,2,4,3,3,4,3,0,7857,357,5500
37,Yes,Frequently,TECH,10,3,Informatique,Male,Senior,Divorced,6,17,5,1,0,1,3,3,3,2,3,0,5286,241,3700
39,No,Frequently,TECH,2,4,Informatique,Female,Senior,Single,0,20,1,19,6,3,3,3,4,4,3,11,3429,156,2400
29,No,Rarely,TECH,15,3,Informatique,Male,Junior,Single,1,6,1,6,5,3,3,4,3,1,3,1,2286,104,1600
42,No,Rarely,TECH,17,2,Informatique,Female,Manager,Single,3,10,1,3,2,4,4,2,3,3,3,0,7857,357,5500
29,No,Rarely,Audit,20,2,Comptabilite,Male,Junior,Divorced,2,10,2,3,2,4,3,4,3,4,3,0,2286,104,1600
25,No,Rarely,TECH,1,3,DataScience,Female,Junior,Married,0,5,3,4,2,1,3,3,3,4,3,1,2286,104,1600
42,No,Rarely,TECH,2,3,DataScience,Female,Manager,Divorced,0,10,4,9,6,4,2,2,3,3,3,7,7857,357,5500
40,No,Rarely,TECH,2,2,DataScience,Male,Senior,Divorced,0,22,5,21,7,1,3,3,3,4,3,3,3429,156,2400
51,No,Rarely,TECH,1,3,DataScience,Male,Partner,Married,2,13,0,11,1,4,4,4,4,3,2,10,,,
31,Yes,Frequently,TECH,29,2,DataScience,Male,Senior,Single,0,6,2,5,4,3,2,2,3,2,4,1,3786,172,2650
32,No,Frequently,TECH,7,3,DataScience,Male,Senior,Married,1,5,3,5,1,2,4,2,4,3,1,0,3394,154,2376
38,No,Never,Audit,2,2,Comptabilite,Male,Senior,Married,3,13,0,8,7,4,2,4,3,4,3,7,3786,172,2650
32,No,Rarely,TECH,2,1,DataScience,Male,Senior,Single,4,9,5,6,2,4,2,1,3,4,3,0,3429,156,2400
46,No,Rarely,Audit,2,3,Comptabilite,Female,Manager,Married,3,28,2,7,7,3,1,2,3,2,2,7,7857,357,5500
28,Yes,Rarely,TECH,2,4,DataScience,Male,Junior,Single,2,5,5,0,0,1,3,3,3,3,1,0,2286,104,1600
29,No,Rarely,Audit,2,3,Comptabilite,Male,Junior,Married,2,10,2,0,0,1,2,2,3,2,3,0,2286,104,1600
31,No,Rarely,TECH,23,3,DataScience,Male,Senior,Married,0,10,2,9,0,2,2,4,4,2,3,7,3786,172,2650
25,No,Never,TECH,5,2,DataScience,Male,Junior,Divorced,1,6,2,6,3,2,4,1,3,4,3,1,2286,104,1600
45,No,Rarely,TECH,20,2,DataScience,Male,Manager,Married,0,21,2,20,7,3,3,4,3,2,3,4,7857,357,5500
36,No,Rarely,TECH,6,3,DataScience,Male,Senior,Married,0,16,4,15,13,4,3,4,3,3,3,10,3394,154,2376
55,No,Rarely,TECH,1,3,DataScience,Male,Partner,Divorced,2,37,2,36,30,4,4,4,3,3,1,6,,,
47,Yes,Never,TECH,29,4,Informatique,Male,Manager,Married,1,10,2,10,7,2,3,2,3,4,2,9,7857,357,5500
28,No,Rarely,TECH,9,3,Informatique,Male,Junior,Married,1,5,3,5,2,4,3,4,4,4,2,0,2286,104,1600
37,No,Rarely,Audit,6,4,Comptabilite,Male,Senior,Married,4,7,5,5,4,3,3,4,3,2,4,0,3786,172,2650
21,No,Rarely,TECH,3,2,Informatique,Male,Junior,Single,1,3,4,3,2,4,2,3,3,1,4,1,2286,104,1600
37,No,Never,TECH,1,4,Informatique,Female,Senior,Divorced,2,15,2,5,2,1,3,4,3,1,3,0,3429,156,2400
35,No,Rarely,TECH,22,3,Informatique,Female,Senior,Divorced,7,10,6,7,7,2,4,2,3,2,2,6,3786,172,2650
38,No,Rarely,Audit,7,2,Comptabilite,Female,Senior,Divorced,1,8,3,8,0,1,4,1,4,3,3,7,3394,154,2376
26,No,Frequently,TECH,1,3,Informatique,Female,Junior,Divorced,1,6,6,6,5,3,3,2,4,1,1,1,2286,104,1600
50,No,Rarely,TECH,4,1,Informatique,Male,Manager,Divorced,3,28,4,10,4,2,3,4,3,2,2,1,7857,357,5500
53,No,Rarely,TECH,3,4,Informatique,Male,Partner,Married,3,21,1,19,9,3,4,3,4,4,2,10,,,
42,No,Rarely,Audit,1,1,Comptabilite,Male,Manager,Married,1,20,3,20,16,2,3,3,4,3,3,11,6429,292,4500
29,No,Frequently,Audit,2,2,Comptabilite,Male,Junior,Single,1,10,3,10,7,2,3,4,3,1,2,0,2143,98,1500
55,No,Rarely,TECH,20,2,Informatique,Male,Partner,Married,3,17,1,15,4,4,4,4,4,4,3,11,,,
26,No,Frequently,DealAdvisory,11,2,Finance,Male,Junior,Married,1,5,3,5,3,1,3,1,3,3,3,3,2143,98,1500
37,No,Rarely,DealAdvisory,1,3,Finance,Female,Senior,Single,1,17,3,17,12,4,3,4,3,2,3,5,3786,172,2650
44,Yes,Frequently,DealAdvisory,24,3,Economie,Male,Manager,Divorced,3,19,0,1,0,4,3,3,4,4,1,0,6429,292,4500
38,No,Rarely,DealAdvisory,23,4,Economie,Male,Senior,Divorced,9,10,2,2,2,4,3,4,3,2,3,1,3429,156,2400
26,Yes,Rarely,DealAdvisory,16,4,Economie,Male,Junior,Divorced,2,5,2,3,2,1,3,2,3,4,3,0,2143,98,1500
28,No,Rarely,DealAdvisory,8,2,Economie,Female,Junior,Single,1,5,3,5,3,4,3,4,4,4,3,0,2143,98,1500
49,No,Frequently,DealAdvisory,10,4,Economie,Female,Manager,Single,9,22,4,3,2,3,3,4,3,4,3,1,6429,292,4500
36,No,Rarely,DealAdvisory,3,3,Economie,Male,Senior,Single,4,10,2,8,0,3,3,2,3,4,3,7,3786,172,2650
31,No,Frequently,Audit,5,3,Comptabilite,Female,Senior,Divorced,1,2,5,2,2,4,3,2,3,3,2,2,3394,154,2376
26,Yes,Rarely,Audit,4,4,Comptabilite,Male,Junior,Single,1,8,0,8,7,4,2,4,3,2,3,7,2143,98,1500
37,No,Frequently,DealAdvisory,9,3,Economie,Male,Senior,Married,1,4,3,4,2,2,3,4,3,3,2,1,3429,156,2400
42,No,Frequently,Audit,26,3,Comptabilite,Female,Manager,Married,5,23,2,20,4,3,3,2,3,4,4,4,6429,292,4500
18,Yes,Rarely,DealAdvisory,3,3,Economie,Male,Junior,Single,1,0,2,0,0,3,3,3,3,3,3,0,2143,98,1500
35,No,Rarely,Audit,16,3,Comptabilite,Male,Senior,Married,0,12,3,11,9,3,3,2,3,3,2,6,3429,156,2400
36,No,Frequently,DealAdvisory,18,4,Economie,Male,Senior,Married,4,4,2,1,0,3,4,4,3,4,3,0,3394,154,2376
